,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
20120813,99.91,2.77,3.34,1.77,1.58,240.81,4.48,6.02,3.23,2.78,241.38
20120814,99.83,2.82,3.3,2.09,1.23,261.94,4.53,5.95,3.24,2.7,262.94
20120815,99.82,1.98,3.05,1.05,2.0,221.0,3.34,5.83,1.15,4.68,222.12
20120816,99.65,2.28,3.89,1.02,2.88,162.06,3.48,4.6,2.07,2.54,162.31
20120817,99.57,2.1,3.55,0.54,3.01,99.56,3.08,4.2,0.81,3.38,99.62
20120818,99.57,4.45,6.76,1.91,4.84,107.75,6.46,8.19,3.98,4.2,107.94
20120819,99.72,4.63,5.77,3.58,2.19,142.75,6.57,7.02,5.97,1.05,143.31
20120820,99.87,4.94,6.08,3.06,3.01,181.94,6.96,8.07,5.73,2.34,182.56
20120821,99.97,4.88,5.93,3.51,2.42,187.75,6.91,8.29,6.02,2.27,188.62
20120822,100.11,3.77,5.25,2.16,3.09,203.56,5.62,7.79,3.88,3.91,204.5
20120823,100.13,2.58,3.46,1.23,2.23,263.19,3.99,5.7,1.95,3.74,263.69
20120824,100.02,2.36,3.9,0.38,3.52,190.31,3.8,5.41,0.48,4.94,189.88
20120825,99.98,2.8,4.43,1.55,2.88,144.19,4.49,5.37,3.08,2.29,144.44
20120826,99.9,3.54,5.34,1.24,4.09,117.81,5.15,6.64,2.05,4.59,117.81
20120827,99.84,4.04,5.31,2.76,2.55,160.62,6.04,6.77,5.3,1.48,161.12
20120828,99.95,2.88,3.68,1.97,1.71,168.06,4.72,6.29,2.77,3.52,168.5
20120829,100.08,2.31,3.34,1.13,2.2,160.06,3.8,5.8,1.45,4.34,159.94
20120830,100.11,3.34,5.3,1.62,3.67,150.75,5.07,6.62,2.63,3.99,150.62
20120831,99.94,2.95,4.32,1.88,2.45,177.25,4.7,7.22,3.22,3.99,177.25
20120901,99.86,2.47,3.49,0.91,2.59,168.88,4.14,6.31,0.91,5.4,169.0
20120902,99.84,2.55,3.84,1.39,2.45,132.94,4.23,5.76,1.58,4.17,132.94
20120903,99.7,4.98,7.25,1.29,5.96,79.75,7.05,10.31,2.3,8.0,80.5
20120904,99.85,4.05,5.53,2.31,3.22,139.12,6.16,8.38,4.24,4.12,140.0
20120905,100.03,4.31,6.04,2.59,3.45,133.56,6.54,7.8,5.0,2.8,134.25
20120906,100.25,3.73,5.7,1.98,3.71,157.12,6.01,7.28,4.54,2.75,157.69
20120907,100.24,2.09,3.52,1.05,2.47,145.44,3.17,4.49,1.8,2.7,144.81
20120908,100.06,2.31,4.1,1.69,2.41,179.69,3.78,5.43,2.34,3.08,179.62
20120909,99.97,3.52,7.01,1.77,5.23,148.88,5.57,9.07,3.3,5.77,149.38
20120910,100.01,2.92,4.82,0.7,4.12,149.81,4.48,5.73,1.45,4.29,149.88
20120911,100.01,3.2,4.34,1.8,2.54,177.19,5.02,6.7,3.52,3.18,177.62
20120912,99.97,4.12,4.91,2.68,2.23,183.88,6.13,7.56,4.79,2.77,184.31
20120913,99.96,3.41,4.62,2.39,2.23,214.94,5.45,7.07,2.98,4.1,215.81
20120914,99.82,1.94,2.89,0.04,2.84,264.56,3.36,5.38,0.09,5.29,266.12
20120915,99.76,2.31,3.68,1.48,2.2,225.81,4.02,6.32,2.34,3.98,226.94
20120916,99.84,2.96,3.55,2.01,1.55,145.25,4.84,6.36,2.74,3.62,145.69
20120917,100.14,2.88,3.91,1.77,2.14,152.56,4.78,6.2,3.66,2.53,152.81
20120918,100.16,2.21,2.71,1.65,1.06,172.19,3.84,5.61,2.48,3.13,172.5
20120919,100.11,2.71,4.01,2.03,1.98,187.62,4.48,6.82,2.25,4.58,188.44
20120920,100.15,3.38,4.5,2.42,2.08,206.81,5.13,6.4,3.04,3.36,207.44
20120921,100.19,2.4,3.77,0.74,3.02,173.56,3.67,6.09,1.13,4.96,174.12
20120922,100.24,1.98,3.25,1.11,2.14,207.88,3.38,5.91,1.2,4.71,208.69
20120923,100.18,1.88,3.06,0.28,2.77,231.75,2.87,4.32,0.37,3.95,231.19
20120924,100.16,2.47,3.3,1.58,1.73,323.12,3.92,4.98,2.77,2.21,323.25
20120925,100.29,2.84,3.65,2.12,1.52,324.31,4.61,6.72,3.24,3.48,324.5
20120926,100.55,2.5,3.62,1.52,2.1,342.25,3.94,6.75,2.41,4.34,342.5
20120927,100.58,2.23,4.09,0.85,3.24,237.38,3.44,5.91,1.26,4.64,223.0
20120928,100.51,2.47,3.45,0.88,2.58,263.31,3.84,6.35,1.31,5.05,263.69
20120929,100.51,2.02,3.05,0.73,2.32,191.56,3.25,4.95,1.06,3.9,191.75
20120930,100.55,1.49,2.22,0.79,1.43,193.38,2.65,5.05,0.91,4.13,193.38
20121001,100.58,2.16,3.02,0.56,2.45,182.81,3.66,6.05,0.81,5.24,182.5
20121002,100.51,2.85,4.14,1.53,2.61,206.5,4.7,6.84,2.62,4.22,206.75
20121003,100.26,3.91,5.17,2.84,2.34,212.94,6.1,7.07,4.95,2.12,213.44
20121004,100.04,3.45,5.98,1.88,4.09,228.19,5.34,9.02,2.92,6.1,229.0
20121005,100.28,2.12,3.49,1.11,2.38,329.12,3.27,5.14,1.7,3.45,328.94
20121006,100.59,2.01,2.64,1.58,1.06,287.56,2.95,4.29,2.41,1.88,287.62
20121007,100.64,2.98,3.79,1.99,1.8,191.81,4.88,6.86,3.68,3.18,192.19
20121008,100.52,2.91,4.13,1.58,2.55,122.56,4.65,6.03,2.86,3.18,122.94
20121009,100.46,1.34,3.16,0.2,2.97,105.44,2.18,5.72,0.25,5.48,105.5
